# Redis 名额扣减三方案对比 —— 预验证阶段实测
#
# 环境：本机单机，压测端与 Redis 同机（Redis 5.0.14.1 Windows 移植版，tools/redis）
#      教学班容量 50，每档独立重置状态后压测
# 时间：2026-09-18
#
# 【重要】这组数据只能支撑「谁会超选、谁不会」这个定性结论。
# QPS 和耗时是压测端与 Redis 同机测得的，两者争抢同一份 CPU，绝对值偏低。
# 但三种方案跑在完全相同的条件下，横向比较依然成立——lua 与 watch 的差距
# （3627 vs 475）远超同机干扰能解释的范围。论文中应按「相对倍率」引用这组数据，
# 不要把 QPS 绝对值说成系统的承载上限。
#
concurrency,strategy,success,final_remain,oversell,retries,elapsed_s,qps
500,naive,500,-450,450,0,0.922,542
500,watch,50,0,0,3273,1.053,475
500,lua,50,0,0,0,0.138,3627
1000,naive,1000,-950,950,0,1.901,526
1000,watch,50,0,0,4711,1.968,508
1000,lua,50,0,0,0,0.208,4813
2000,naive,2000,-1950,1950,0,3.894,514
2000,watch,50,0,0,2557,1.960,1021
2000,lua,50,0,0,0,0.466,4296
