# 四方案对比 —— Java 虚拟线程压测端打真实 HTTP 业务链路
#
# 工具：verify/loadtest/LoadTest.java（JDK 虚拟线程，无第三方依赖）
# 环境：本机单机。Spring Boot dev profile（H2 内存库 + 进程内队列 + 本机 Redis 5.0.14）
#      Tomcat threads.max=400  accept-count=3000  max-connections=10000
#      教学班容量 50，每轮经 /api/admin/reset-experiment/1 彻底复位
#      运行时切策略、不重启服务，JVM 预热与连接池状态保持一致
# 时间：2026-09-19
#
# ══════════════════════════════════════════════════════════════════════
# 【可以直接写进论文的结论】
#
# 1. oversell 列：direct 会超选，另外三种在任何并发下都不会。
#    这是并发控制机制决定的定性结果，与机器配置无关。
#
# 2. direct 的超选是【概率性】的，不是必然的 —— 见下方重复实验。
#    2000 并发重复 10 次，4 次超选、6 次正常。
#    这比"必然超选"更值得强调：一个偶尔才出错的系统，
#    "测了几次没问题"根本不能作为它正确的证据。
#
# 3. retries 列：optimistic 的 CAS 重试次数随并发增长（28 → 41 → 91）。
#
# ══════════════════════════════════════════════════════════════════════
# 【不能用来做方案间性能对比的列】⚠
#
# qps / p50 / p95 / p99 这四列在本表中【不能】用于比较四种方案的快慢。
#
# 原因：在完整 HTTP 链路里，一次选课请求要经过
#   auth(JWT) / rateLimit / round / student / teachingClass 五个环节
#   → 规则校验（时间冲突/学分/先修，含多次 JOIN 查询）→ 扣减 → 响应
# 扣减只占其中很小一部分，所以四种方案的端到端耗时被前面那些步骤拉平了，
# QPS 全部落在 1050~1320 的窄区间里，差异不具有统计意义。
#
# 要比较扣减机制本身的性能，用 deduct-baseline.csv —— 那组直接打 Redis，
# 没有 HTTP 与业务逻辑开销，lua 3627 QPS vs watch 475 QPS 的差距才是真实的。
#
# 论文里正确的写法：
#   正确性对比 → 用本表的 oversell 列
#   机制性能对比 → 用 deduct-baseline.csv
#   并说明为什么两者结论不同（扣减在端到端耗时中占比很小）
# 这样写比硬说"本方案端到端快 7 倍"严谨得多，也经得起追问。
#
# ══════════════════════════════════════════════════════════════════════
# 【实验方法上踩到的两个坑，建议写进第 6.1 节】
#
# 坑一：Tomcat accept-count 默认只有 100。
#   3000 并发瞬间涌入时，连接在进入应用之前就被操作系统的 backlog 队列拒掉，
#   客户端收到 ConnectException。调整前 3000 并发失败 729 次（24%），
#   调整为 3000 后降到 38 次（1.3%）。
#   这个失败"看起来像应用扛不住"，实际是容器参数没调，很容易误判。
#
# 坑二：预登录必须在计时区间之外完成。
#   BCrypt 校验单次约 100ms，1000 个学生登录会把 CPU 打满，
#   紧接着发起的选课请求大量超时（首次实测 69 个失败）。
#   把 token 缓存到文件、复用后重跑，失败数归零。
#
# ══════════════════════════════════════════════════════════════════════

# ── 主表：四方案 × 三档并发 ──
strategy,concurrency,accepted,db_selected,redis_remain,oversell,retries,failed,elapsed_s,qps,p50_ms,p95_ms,p99_ms,max_ms
direct,1000,51,51,50,1,0,0,0.854,1171,502.1,751.8,787.9,813.2
pessimistic,1000,50,50,50,0,0,0,0.849,1178,511.3,743.1,794.5,833.1
optimistic,1000,50,50,50,0,28,0,0.811,1233,452.8,712.8,739.8,784.3
redis_mq,1000,50,50,0,0,0,0,0.921,1086,521.6,821.0,857.9,889.2
direct,2000,51,51,50,1,0,0,1.656,1208,975.9,1426.9,1459.7,1539.9
pessimistic,2000,50,50,50,0,0,0,1.663,1203,991.6,1487.8,1554.2,1655.2
optimistic,2000,50,50,50,0,41,0,1.712,1168,928.2,1505.1,1614.0,1653.0
redis_mq,2000,50,50,0,0,0,0,1.899,1053,1084.8,1675.6,1737.5,1831.8
direct,3000,50,50,50,0,0,0,2.267,1323,1177.4,1954.7,2041.5,2171.8
pessimistic,3000,50,50,50,0,0,0,2.516,1193,1418.9,2220.2,2319.3,2401.1
optimistic,3000,50,50,50,0,91,0,2.389,1256,1407.4,2078.5,2112.0,2202.9
redis_mq,3000,50,50,0,0,0,0,2.839,1057,1623.6,2575.1,2635.7,2788.1

# ── 重复实验：direct，2000 并发 × 10 轮 ──
# 结果：4 次超选（均超 1 人），6 次正常。超选率 40%。
run,strategy,concurrency,db_selected,oversell
1,direct,2000,50,0
2,direct,2000,51,1
3,direct,2000,50,0
4,direct,2000,51,1
5,direct,2000,50,0
6,direct,2000,51,1
7,direct,2000,51,1
8,direct,2000,50,0
9,direct,2000,50,0
10,direct,2000,50,0

# ── 对照组：redis_mq，2000 并发 × 10 轮 ──
# 结果：10 次全部精确等于容量，Redis 余量每次都归零（缓存与库完全一致）。
run,strategy,concurrency,db_selected,oversell,redis_remain
1,redis_mq,2000,50,0,0
2,redis_mq,2000,50,0,0
3,redis_mq,2000,50,0,0
4,redis_mq,2000,50,0,0
5,redis_mq,2000,50,0,0
6,redis_mq,2000,50,0,0
7,redis_mq,2000,50,0,0
8,redis_mq,2000,50,0,0
9,redis_mq,2000,50,0,0
10,redis_mq,2000,50,0,0

# ── 另记：3000 并发下 direct 的一次单独观测 ──
# 在 Tomcat 参数调整前后各跑过一次 3000 并发的 direct：
#   调整前：落库 66，超选 16，但失败 729 次 —— 数据作废
#   调整后：落库 73，超选 23，失败 38 次（1.3%）—— 可作为"高压下超选加剧"的旁证
#   主表里 3000/direct 那一行是后来重跑的另一次，超选 0
# 三次同条件结果分别是 16 / 23 / 0，再次印证超选的概率性。
