# 时间冲突检测：位图 vs 朴素区间比较
#
# 工具：verify/bitmapbench/BitmapBench.java
#      直接调用生产代码 com.ncuky.cs.util.TimeBitmapUtil，未做简化重写
# 环境：本机单机，JDK 25.0.1
#      每门课 2 个时段、每段 2 节；时间槽 7 天 × 12 节 = 84 槽（两个 long）
#      固定随机种子 20260919，实验可完整复现
# 时间：2026-09-19
#
# ══════════════════════════════════════════════════════════════════════
# 【实验 A】单次冲突校验耗时随已选课程数变化（200 万次调用的总耗时）
#
# 三条曲线各自的形状都符合理论预期，画成图 6-4：
#
#   bitmap_ms      —— 3.5~3.7ms 全程持平。位图判冲突是两次按位与，
#                     与已选课程数无关，这就是 O(1)。
#
#   naive_worst_ms —— 90.8 → 414.9，随 n 线性增长，即 O(n×m)。
#                     构造方式是让候选课一定不冲突，迫使朴素实现扫完全部已选课程。
#
#   naive_avg_ms   —— 81.8 → 178.9，增长明显慢于最坏情形。
#                     原因是朴素实现一命中冲突就提前返回，已选课程越多越容易早退出。
#                     答辩若问「为什么平均那条线翘得不明显」，这就是答案。
#
# ── 实验方法上被数据纠正过三次，建议写进 6.4 节 ──
#
# 一、最早用 Python 复刻算法测。量级关系一致，但实现是 Java、数据是 Python，
#     答辩必被追问，故改为直接调用生产类重测，即本表。
#
# 二、初版每个 n 各自构造候选课，位图列在 n=2、4 偏高（8.1 / 7.6ms），
#     n≥6 才落到 3.3ms。加全局 JIT 预热无效。真因是课表越稀疏能塞下的候选课越多，
#     n 小时构造出 64 个互不相同的 long[]，n 大时只找得到少数几个再重复填充——
#     前者工作集大，后者全落在 L1 缓存里。量到的是缓存局部性，不是算法复杂度。
#     改为所有 n 共用同一套候选课（按最大课表构造，小课表是其子集）后消除。
#
# 三、共用候选集后位图在 n=2、4 仍偏高（6.9 / 6.8ms）。此时候选集完全相同、
#     JIT 已预热，唯一还在变的是测点先后顺序——靠前的测点跑在 CPU 尚未睿频时。
#     改为每个测点重复 3 轮取最小值后消除。取最小而非取平均是基准测试通行做法：
#     干扰只会让耗时变长，最小值最接近无干扰时的真实耗时。
# ══════════════════════════════════════════════════════════════════════

selected_courses,naive_avg_ms,naive_worst_ms,bitmap_ms
2,81.8,90.8,3.7
4,112.1,150.4,3.6
6,142.6,232.0,3.5
8,161.0,292.7,3.5
10,158.6,341.8,3.7
12,178.9,414.9,3.7

# ══════════════════════════════════════════════════════════════════════
# 【实验 B】整页课程列表的冲突标注耗时（已选 10 门，单位 ms/页）
#
# 这组才是真实负载。选课页要为列表里每门课标注「是否与我的课表冲突」，
# 所以单页耗时 = 候选课门数 × 单次校验耗时。
#
# 实验 A 说明的是复杂度，实验 B 说明的是这个复杂度在真实场景下值多少钱：
# 一页 500 门课，朴素实现 0.0779ms、位图 0.0004ms，差约 196 倍。
#
# 注意：单看绝对值，0.08ms 其实完全可以接受——这一点论文里要主动讲清楚，
# 不要把位图说成「不用就跑不动」。它真正的价值在选课峰值：
# 上万学生同时刷列表时，这 0.08ms 要乘以并发量，且发生在 Tomcat 工作线程里，
# 省下的是线程占用时间，不是单次响应的体感。
# ══════════════════════════════════════════════════════════════════════

page_size,naive_ms,bitmap_ms
50,0.0078,0.0001
100,0.0152,0.0001
200,0.0328,0.0002
300,0.0465,0.0003
500,0.0779,0.0004
