# 四方案对比 —— 打真实 HTTP 业务链路（鉴权 → 限流 → 规则校验 → 扣减 → 落库）
#
# 环境：本机单机，Spring Boot dev profile（H2 内存库 + 进程内队列 + 本机 Redis 5.0）
#      教学班容量 50，每轮通过 /api/admin/reset-experiment/1 彻底复位后重测
#      运行时切策略，不重启服务，JVM 预热与连接池状态保持一致
# 时间：2026-09-18
#
# ┌── 可以直接引用的结论 ──────────────────────────────────────┐
# │ oversell 这一列：direct 超选 15 人，其余三种零超选。        │
# │ 这是并发控制机制决定的定性结果，与机器配置无关。            │
# └────────────────────────────────────────────────────────────┘
#
# ⚠ qps 这一列不可用于方案间性能对比：
#   本脚本用 Python 线程发 HTTP，500 并发时瓶颈在客户端不在服务端，
#   所以四种方案 QPS 趋同（88/91/91/91）——测到的是客户端天花板。
#   论文要比 QPS 与 P99 必须改用 JMeter。
#   Redis 侧的相对性能差距见 deduct-baseline.csv，那组没有 HTTP 开销，差距是真实的。
#
# ⚠ redis_remain / diff 只有 redis_mq 一行有意义：
#   另外三种方案直接操作数据库、不碰 Redis，跑完后余量停在预热初始值 50，这不是缺陷。
#
strategy,concurrency,accepted,db_selected,redis_remain,oversell,retries,elapsed_s,qps
direct,500,65,65,50,15,0,5.668,88
pessimistic,500,50,50,50,0,0,5.478,91
optimistic,500,50,50,50,0,51,5.493,91
redis_mq,500,50,50,0,0,0,5.503,91
